Date,Description,Category,Amount
01/09/2024,Fish and you,Dining,87.51
01/13/2024,National Grid,Utilities,35.83
01/13/2024,Musicals,Entertainment,95.8
02/02/2024,Dim Sum,Dining,94.57
02/04/2024,Marshalls,Shopping,10.48
02/19/2024,Con Edison,Utilities,107.11
02/28/2024,Taxi,Travel,78.46
03/05/2024,Delta,Travel,12.88
03/12/2024,Musicals,Entertainment,65.77
04/16/2024,Macy's,Shopping,61.66
05/06/2024,Target,Groceries,62.39
05/09/2024,American Airlines,Travel,74.3
05/20/2024,Walmart,Groceries,54.32
05/26/2024,NYP Hospital,Healthcare,83.91
06/01/2024,Great Wall,Groceries,13.33
06/13/2024,Emblem Premium,Healthcare,29.36
06/15/2024,National Grid,Utilities,58.62
06/16/2024,MTA,Travel,93.42
06/17/2024,Macy's,Shopping,34.61
06/21/2024,Con Edison,Utilities,82.57
07/22/2024,Chicken Soup,Dining,54.26
07/23/2024,Costco,Groceries,16.22
07/26/2024,Target,Groceries,74.93
07/27/2024,Costco,Groceries,106.0
08/06/2024,National Grid,Utilities,17.61
08/09/2024,Costco,Groceries,79.34
08/10/2024,Macy's,Shopping,31.06
08/12/2024,Movie,Entertainment,66.86
