MON,Dining,Entertainment,Groceries,Healthcare,Shopping,Travel,Utilities,TOTAL
Jan,335.55,286.37,94.95,0.00,773.00,572.82,119.64,2182.33
Feb,483.03,0.00,0.00,104.02,0.00,76.21,396.31,1059.57
Mar,0.00,392.20,0.00,0.00,770.47,0.00,125.71,1288.38
Apr,0.00,0.00,0.00,205.52,0.00,321.48,223.47,750.47
May,884.91,0.00,492.52,787.82,0.00,0.00,372.23,2537.48
Jun,651.54,0.00,0.00,699.95,76.76,101.32,0.00,1529.57
Jul,410.08,394.86,348.82,737.02,420.65,197.29,552.25,3060.97
Aug,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sep,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oct,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nov,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dec,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,2765.11,1073.43,936.29,2534.33,2040.88,1269.12,1789.61,12408.77
,22.28%,8.65%,7.55%,20.42%,16.45%,10.23%,14.42%,
